UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,altitude_m,speed_ms,network_type,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct
UAV_011,1.2916,28.399,24.499,-55.101,1.46e-06,114.007,1.009,0.9,-58.3,0.004,0.0,0.0,100.0,8.143,198.1,12.8,UAV,4.7449929960759905,5.835646846753691,0.6418538861723948
UAV_012,2.2006,27.57,24.57,-56.915,1.45e-06,114.338,1.415,2.3,-105.7,0.007,0.0,0.0,100.0,8.167,178.9,14.2,UAV,4.747866947998778,5.838631698251692,1.1939224684724346
UAV_013,0.9708,33.079,29.379,-53.961,1e-08,136.654,1.606,1.7,52.5,0.003,0.0,0.0,100.0,9.761,276.3,10.8,UAV,4.9247432903745425,7.999956572723137,0.9932517730102834
UAV_014,1.6539,28.351,24.351,-55.425,1.27e-06,113.321,1.911,0.4,83.5,0.006,0.0,0.0,100.0,8.094,217.8,11.3,UAV,4.739010280959141,5.8961959370800185,0.33647223662121295
UAV_015,0.9781,27.713,24.413,-56.043,1.29e-06,113.612,1.807,2.6,-78.1,0.003,0.0,0.0,100.0,8.115,203.8,10.0,UAV,4.7415525108406005,5.889409953038492,1.2809338454620645
UAV_016,1.4831,30.798,26.398,-53.801,1e-08,122.813,1.21,1.3,-127.7,0.005,0.0,0.0,100.0,8.772,163.6,17.9,UAV,4.818772362815078,7.999956572723137,0.832909122935104
UAV_017,0.7239,43.828,41.128,-47.786,1e-08,191.274,1.105,1.0,-111.5,0.002,0.0,0.0,100.0,13.662,380.9,18.8,UAV,5.2589214380454425,7.999956572723137,0.6931471805599453
UAV_018,0.969,34.094,31.494,-53.853,1e-08,146.485,1.606,2.7,-98.0,0.003,0.0,0.0,100.0,10.463,247.4,12.4,UAV,4.993726475693342,7.999956572723137,1.308332819650179
UAV_019,0.4941,49.345,45.745,-45.727,1e-08,212.747,1.403,1.5,131.7,0.002,0.0,0.0,100.0,15.196,462.3,16.5,UAV,5.364793072630658,7.999956572723137,0.9162907318741551
UAV_000,1.3823,32.309,27.909,-53.946,1e-08,129.828,1.809,1.1,76.9,0.005,0.0,0.0,100.0,9.273,430.0,12.8,UAV,4.873883483392255,7.999956572723137,0.7419373447293773
UAV_001,1.4498,29.763,26.263,-54.919,1e-08,122.188,1.61,2.7,-25.7,0.005,7.0,0.232,100.0,8.728,350.8,13.2,UAV,4.813711643758076,7.999956572723137,1.308332819650179
UAV_002,1.5426,33.456,30.956,-53.272,1e-08,143.984,1.21,0.8,73.8,0.005,0.0,0.0,100.0,10.285,416.7,16.4,UAV,4.97662339150455,7.999956572723137,0.5877866649021191
